iter	Passed	Remaining
0	230	230224
1	234	117228
2	239	79430
3	243	60509
4	247	49166
5	250	41553
6	254	36098
7	255	31728
8	257	28325
9	258	25610
10	260	23386
11	261	21530
12	262	19959
13	264	18610
14	265	17443
15	267	16422
16	268	15521
17	269	14714
18	271	13996
19	272	13353
20	273	12769
21	275	12240
22	276	11756
23	278	11312
24	279	10902
25	280	10523
26	282	10170
27	283	9843
28	284	9537
29	286	9255
30	287	8989
31	288	8738
32	290	8504
33	291	8284
34	292	8074
35	294	7877
36	295	7691
37	296	7516
38	298	7347
39	299	7190
40	301	7040
41	302	6897
42	303	6760
43	305	6628
44	306	6502
45	307	6382
46	309	6265
47	310	6155
48	311	6051
49	313	5951
50	314	5854
51	315	5759
52	317	5669
53	318	5582
54	319	5497
55	321	5415
56	322	5337
57	323	5260
58	325	5187
59	326	5116
60	327	5047
61	329	4980
62	330	4916
63	332	4856
64	333	4796
65	334	4737
66	336	4680
67	337	4624
68	338	4570
69	340	4520
70	341	4470
71	342	4420
72	344	4372
73	345	4325
74	347	4280
75	348	4235
76	349	4191
77	350	4148
78	352	4107
79	353	4067
80	354	4027
81	356	3988
82	357	3944
83	358	3907
84	359	3871
85	360	3836
86	362	3802
87	363	3768
88	365	3736
89	366	3703
90	367	3672
91	369	3642
92	370	3612
93	371	3582
94	373	3554
95	374	3525
96	375	3497
97	377	3470
98	378	3443
99	379	3417
100	380	3391
101	382	3369
102	384	3345
103	385	3323
104	387	3302
105	388	3279
106	390	3256
107	391	3234
108	393	3212
109	394	3190
110	395	3168
111	396	3147
112	398	3126
113	399	3106
114	401	3086
115	402	3066
116	403	3045
117	404	3025
118	406	3007
119	407	2988
120	408	2970
121	409	2950
122	411	2933
123	412	2915
124	413	2897
125	415	2881
126	416	2862
127	417	2846
128	419	2830
129	420	2814
130	421	2798
131	423	2782
132	424	2766
133	425	2751
134	427	2736
135	428	2721
136	429	2707
137	431	2692
138	432	2678
139	433	2664
140	435	2650
141	436	2634
142	437	2621
143	438	2608
144	440	2596
145	441	2584
146	443	2571
147	444	2558
148	445	2545
149	447	2533
150	448	2521
151	449	2509
152	451	2497
153	452	2486
154	453	2474
155	455	2463
156	456	2452
157	457	2440
158	459	2429
159	460	2418
160	461	2405
161	463	2395
162	464	2384
163	465	2374
164	467	2364
165	468	2354
166	469	2343
167	471	2333
168	472	2323
169	473	2314
170	475	2304
171	476	2294
172	477	2284
173	479	2275
174	480	2266
175	482	2257
176	483	2247
177	484	2238
178	486	2229
179	487	2220
180	488	2211
181	490	2203
182	491	2194
183	492	2185
184	494	2176
185	495	2168
186	496	2159
187	498	2151
188	499	2143
189	500	2134
190	502	2126
191	503	2118
192	504	2110
193	506	2102
194	507	2094
195	508	2086
196	510	2079
197	511	2072
198	512	2064
199	514	2057
200	515	2049
201	516	2042
202	518	2034
203	519	2027
204	520	2019
205	522	2012
206	523	2005
207	524	1998
208	526	1991
209	527	1984
210	528	1977
211	530	1970
212	531	1963
213	532	1956
214	534	1949
215	535	1943
216	536	1936
217	537	1929
218	539	1922
219	540	1916
220	541	1909
221	543	1903
222	544	1897
223	545	1890
224	547	1884
225	548	1878
226	549	1872
227	551	1866
228	552	1861
229	554	1855
230	555	1849
231	557	1844
232	558	1838
233	559	1832
234	561	1826
235	562	1820
236	563	1814
237	564	1808
238	566	1802
239	567	1797
240	568	1791
241	570	1786
242	571	1780
243	572	1774
244	574	1769
245	575	1763
246	576	1758
247	578	1752
248	579	1747
249	580	1741
250	581	1736
251	583	1731
252	584	1725
253	585	1720
254	587	1715
255	588	1710
256	589	1705
257	591	1700
258	592	1695
259	593	1690
260	595	1685
261	596	1680
262	597	1675
263	599	1670
264	600	1665
265	601	1660
266	603	1655
267	604	1650
268	605	1646
