iter	Passed	Remaining
0	893	892179
1	894	446375
2	895	297723
3	897	223394
4	898	178797
5	900	149128
6	901	127906
7	903	111993
8	906	99786
9	908	89897
10	909	81778
11	910	75001
12	912	69271
13	913	64357
14	915	60100
15	917	56419
16	918	53128
17	920	50201
18	921	47579
19	922	45221
20	924	43088
21	925	41153
22	927	39398
23	929	37783
24	930	36305
25	932	34924
26	933	33643
27	934	32454
28	936	31353
29	937	30317
30	939	29357
31	942	28503
32	944	27664
33	945	26869
34	946	26109
35	948	25393
36	949	24713
37	950	24065
38	951	23450
39	952	22871
40	956	22365
41	958	21864
42	959	21364
43	961	20886
44	962	20431
45	964	19995
46	965	19575
47	966	19174
48	969	18817
49	971	18461
50	973	18121
51	975	17782
52	976	17455
53	978	17142
54	980	16851
55	983	16571
56	984	16289
57	986	16016
58	987	15748
59	988	15490
60	990	15240
61	991	14997
62	993	14781
63	995	14556
64	997	14345
65	998	14132
66	1000	13926
67	1001	13727
68	1002	13526
69	1003	13337
70	1005	13151
71	1008	12994
72	1009	12825
73	1011	12663
74	1012	12491
75	1014	12332
76	1015	12175
77	1017	12024
78	1018	11875
79	1021	11748
80	1023	11613
81	1025	11483
82	1027	11348
83	1028	11216
84	1030	11087
85	1031	10966
86	1033	10843
87	1038	10758
88	1039	10643
89	1041	10527
90	1042	10415
91	1044	10305
92	1045	10195
93	1046	10088
94	1049	10000
95	1062	10007
96	1066	9928
97	1067	9828
98	1069	9730
99	1070	9636
100	1071	9541
101	1073	9449
102	1074	9355
103	1075	9268
104	1077	9188
105	1080	9111
106	1081	9027
107	1083	8946
108	1084	8864
109	1085	8781
110	1086	8702
111	1087	8624
112	1089	8550
113	1090	8475
114	1092	8407
115	1094	8342
116	1096	8271
117	1097	8202
118	1098	8133
119	1099	8066
120	1100	7997
121	1102	7933
122	1103	7870
123	1106	7814
124	1109	7764
125	1110	7703
126	1111	7643
127	1113	7584
128	1114	7526
129	1116	7469
130	1117	7413
131	1119	7363
132	1122	7319
133	1124	7265
134	1125	7213
135	1127	7164
136	1129	7112
137	1130	7062
138	1132	7017
139	1134	6971
140	1138	6935
141	1139	6887
142	1141	6839
143	1142	6792
144	1144	6747
145	1145	6702
146	1147	6657
147	1149	6614
148	1151	6578
149	1153	6534
150	1154	6490
151	1155	6449
152	1157	6408
153	1159	6369
154	1162	6337
155	1165	6304
156	1167	6266
157	1168	6227
158	1169	6187
159	1171	6148
160	1172	6110
161	1174	6073
162	1175	6036
163	1177	6002
164	1178	5966
165	1180	5929
166	1181	5893
167	1182	5857
168	1184	5822
169	1185	5788
170	1189	5768
171	1191	5734
172	1192	5702
173	1194	5669
174	1195	5637
175	1197	5605
176	1200	5581
177	1203	5558
178	1205	5530
179	1207	5501
180	1210	5476
181	1214	5456
182	1216	5429
183	1217	5399
184	1219	5371
185	1220	5343
186	1222	5314
187	1223	5285
188	1225	5258
189	1227	5234
190	1230	5210
191	1231	5182
192	1232	5154
193	1233	5126
194	1235	5099
195	1236	5071
196	1237	5045
197	1239	5018
198	1240	4994
199	1243	4974
200	1245	4949
201	1246	4923
202	1247	4898
203	1248	4872
204	1250	4848
205	1251	4823
206	1252	4799
207	1254	4777
208	1257	4759
209	1258	4735
210	1260	4712
211	1261	4689
212	1262	4666
213	1264	4643
214	1265	4620
215	1266	4598
216	1268	4578
217	1271	4560
218	1272	4538
219	1274	4516
220	1275	4495
221	1276	4473
222	1277	4452
223	1279	4431
224	1280	4410
225	1281	4390
226	1283	4371
227	1286	4356
228	1287	4336
229	1289	4315
230	1290	4295
231	1292	4277
232	1293	4257
233	1295	4240
234	1297	4222
235	1300	4209
236	1301	4190
237	1302	4171
238	1306	4160
239	1308	4142
240	1309	4123
241	1310	4105
242	1312	4087
243	1314	4072
244	1315	4054
245	1316	4036
246	1318	4018
247	1319	4001
248	1320	3983
249	1322	3966
